median_tpm_Liver	median_tpm_Other	LO	gene
28.935	20.46	1.41422287390029	ISG15
5.877	4.422	1.32903663500678	SCNN1D
40.09	24.35	1.64640657084189	CPTP
32.94	13.35	2.46741573033708	VWA1
2.794	1.223	2.28454619787408	ATAD3C
51.49	25.73	2.00116595413914	NADK
1.8345	1.223	1.5	CALML6
4.99	1.889	2.64160931709899	TMEM52
54.065	44.31	1.22015346422929	RER1
4.5465	1.607	2.82918481642813	PLCH2
22.58	16.88	1.33767772511848	ZBTB48
220.1	68.02	3.23581299617759	ERRFI1
68.41	27.96	2.4467095851216	H6PD
7.1605	5.211	1.37411245442334	SLC25A33
1.1035	0.878	1.25683371298405	CORT
119.55	2.441	48.9758295780418	MASP2
15.74	9.44	1.66737288135593	FBXO2
158.95	58.82	2.70231213872832	DHRS3
31.035	0.5411	57.3553871742746	AGMAT
13.46	10.76	1.25092936802974	DDI2
124.95	86.97	1.43670231114177	SDHB
55.33	22.83	2.42356548401226	ARHGEF10L
268.25	16.19	16.5688696726374	ALDH4A1
71.515	1.527	46.833660772757	AKR7A3
202.1	19.1	10.5811518324607	PLA2G2A
2.6265	1.976	1.3292004048583	PLA2G5
1.973	1.054	1.8719165085389	UBXN10
34.06	16.36	2.08190709046455	CAMK2N1
52.195	4.564	11.4362401402279	CDA
52.235	9.936	5.25714573268921	ALPL
16.45	9.293	1.77014957494889	RAP1GAP
2.627	1.463	1.79562542720437	CELA3A
49.48	31.2	1.58589743589744	TCEA3
21.855	6.109	3.57750859387789	GALE
77.565	16.35	4.74403669724771	HMGCL
4.726	0.5656	8.35572842998586	IL22RA1
5.248	2.797	1.87629603146228	IFNLR1
1.051	0.5265	1.99620132953466	NCMAP
1.399	1.12	1.24910714285714	RUNX3
11.29	5.833	1.93553917366707	PIGV
74.565	2.158	34.5528266913809	NR0B2
65.845	12.64	5.20925632911392	FCN3
10.325	8.225	1.25531914893617	XKR8
17.47	8.937	1.95479467382791	SESN2
10.125	6.851	1.47788643993578	MED18
75.165	19.91	3.77523857358111	SERINC2
1.6065	1.144	1.40428321678322	LCK
7.992	6.406	1.24758039338121	FAM229A
9.3305	7.531	1.23894569114327	SMIM12
8.399	5.037	1.66746079015287	CSF3R
2.41	1.452	1.65977961432507	MANEAL
3.2025	1.119	2.86193029490617	MYCL
80.975	1.367	59.235552304316	MFSD2A
29.56	24.46	1.2085036794767	SMAP2
6.105	2.211	2.76119402985075	ZNF684
22.44	16.19	1.38604076590488	CITED4
15.98	7.798	2.0492433957425	CTPS1
2.594	1.861	1.39387426114992	ZMYND12
7.3235	5.606	1.30636817695326	ERMAP
9.922	7.161	1.38556067588326	ZNF691
44.46	21.62	2.05642923219241	EBNA1BP2
42.71	17.99	2.37409672040022	PTPRF
15.215	4.662	3.26362076362076	TMEM53
38.865	31.93	1.21719386157219	UROD
9.1405	2.821	3.24016306274371	MMACHC
78.555	47.02	1.67067205444492	AKR1A1
3.0955	2.427	1.27544293366296	TSPAN1
34.405	16.04	2.14495012468828	FAAH
78.915	56.27	1.40243468988804	CMPK1
2.807	1.787	1.57078903189703	TRABD2B
8.0105	1.051	7.62178877259753	SLC5A9
214.6	38.74	5.539494062984	ECHDC2
122.55	24.52	4.99796084828711	SCP2
26.35	9.964	2.64452027298274	CPT2
1.7065	0.3974	4.29416205334675	FAM151A
419.45	44.25	9.47909604519774	DHCR24
6.327	1.734	3.64878892733564	FGGY
11.665	2.908	4.01134800550206	HOOK1
34.53	1.622	21.288532675709	CYP2J2
77.205	40.75	1.89460122699387	PGM1
21.89	2.927	7.4786470789204	AK4
11.445	2.144	5.33815298507463	LEPR
27.18	7.138	3.80778929672177	SLC35D1
44.945	3.292	13.652794653706	CTH
52.25	14.37	3.63604732080724	CRYZ
53.23	32.76	1.62484737484738	ACADM
7.5185	2.061	3.64798641436196	GIPC2
5.6145	4.057	1.38390436282968	CTBS
37.09	16.92	2.19208037825059	DDAH1
12.37	7.184	1.72188195991091	GBP1
7.286	5.916	1.2315753887762	LRRC8D
18.415	14.09	1.3069552874379	TMED5
23.54	12.12	1.94224422442244	ABCD3
12.42	6.326	1.96332595637053	DPYD
6.077	1.349	4.50481838398814	FRRS1
3.6555	2.751	1.32878953107961	SLC35A3
6.5145	5.354	1.21675382891296	DBT
18.435	14.27	1.29187105816398	AMPD2
19.765	7.962	2.48241647827179	GSTM1
4.33	3.076	1.40767230169051	OVGP1
5.334	3.018	1.76739562624254	KCND3
20.73	16.81	1.23319452706722	MOV10
14.92	9.378	1.59095756024739	SLC16A1
2.1805	1.73	1.26040462427746	DENND2C
1.6205	1.319	1.22858225928734	CD2
8.421	1.422	5.92194092827004	TBX15
24.98	7.815	3.19641714651312	PHGDH
748.5	0.6413	1167.16045532512	HMGCS2
8.42	6.986	1.20526767821357	NBPF15
30.485	0.3222	94.6151458721291	PDZK1
24.285	18.62	1.30424274973147	PRKAB2
36.465	1.994	18.2873620862588	FMO5
5.099	3.955	1.28925410872314	NBPF11
6.4905	4.373	1.48422135833524	NBPF9
1.1035	0.531	2.07815442561205	CA14
8.7105	6.72	1.29620535714286	CTSS
99.515	41.84	2.378465583174	CERS2
14.895	3.586	4.15365309537089	ANXA9
212.05	67.06	3.16209364747987	SELENBP1
34.705	7.366	4.71151235405919	CGN
29.175	11.69	2.49572284003422	RORC
1.703	1.087	1.56669733210672	SPRR3
6.2855	3.501	1.79534418737504	S100A12
25.51	19.85	1.28513853904282	S100A8
79.895	55.29	1.44501718213058	S100A16
5.6435	4.472	1.2619633273703	S100A14
38.035	10.2	3.72892156862745	IL6R
60.085	47.98	1.2522926219258	PMVK
7.8595	5.743	1.36853560856695	CKS1B
1.6505	1.118	1.4762969588551	DCST2
203.75	28.23	7.21749911441729	EFNA1
9.594	2.732	3.51171303074671	HCN3
57.93	40.65	1.42509225092251	FDPS
42.435	30.64	1.38495430809399	LAMTOR2
12.505	9.452	1.32300042319086	SLC25A44
11.515	2.563	4.49278189621537	CD1D
2.7455	2.036	1.34847740667976	MNDA
5683	0.255	22286.2745098039	CRP
84.595	39.69	2.13139329805996	DUSP23
14.17	0.6288	22.5349872773537	IGSF9
1.0565	0.7887	1.33954608850006	CD48
1.275	0.4313	2.95617899373986	SLAMF7
1.0415	0.273	3.81501831501832	CD244
47.49	31.09	1.52750080411708	F11R
26.79	18.31	1.46313489896232	NIT1
5517.5	0.2286	24136.0454943132	APOA2
15.095	10.88	1.38740808823529	TOMM40L
98.74	0.3964	249.091826437942	NR1I3
1.913	0.7294	2.62270359199342	PCP4L1
6.313	4.657	1.35559372986901	FCGR3A
1.804	0.8214	2.19625030435841	FCGR3B
5.2735	1.992	2.64733935742972	FCGR2B
1.059	0.27	3.92222222222222	NOS1AP
12.845	2.129	6.03334899013621	C1orf226
47.425	36.96	1.28314393939394	UAP1
18.43	4.979	3.70154649528018	HSD17B7
10.45	6.743	1.54975530179445	TADA1
1.7515	0.8855	1.97797854319593	CD247
75.145	38.29	1.96252285191956	MPC2
1.1805	0.2342	5.04056362083689	XCL2
34.175	0.9336	36.6056126820908	F5
2.581	0.9703	2.66000206121818	SELE
152.5	2.243	67.9893000445831	FMO3
14.915	3.376	4.41795023696682	FMO4
1054.5	0.2208	4775.8152173913	SERPINC1
25.14	5.302	4.74160694077707	SEC16B
8.3875	3.32	2.52635542168675	RALGPS2
8.527	5.854	1.45661086436625	TOR1AIP2
3.095	2.239	1.38231353282715	NPL
42.435	1.257	33.7589498806683	PRG4
3.003	0.8689	3.45609391184256	KCNT2
332.3	25.03	13.276068717539	CFH
7.8065	2.853	2.73624255169996	C1orf53
3.8545	3.13	1.2314696485623	PTPRC
8.767	0.4932	17.7757502027575	NR5A2
9.1825	4.751	1.93275099978952	ZNF281
10.93	2.981	3.66655484736666	LAD1
16.505	2.148	7.68389199255121	ELF3
98.98	8.719	11.3522192912031	CHI3L1
56.945	3.099	18.3752823491449	ETNK2
91.155	0.6198	147.071636011617	GOLT1A
16.955	6.862	2.47085397843194	PLEKHA6
12.01	3.004	3.99800266311585	SLC45A3
12.81	0.509	25.1669941060904	PIGR
3.8305	1.961	1.95334013258542	LAMB3
225	54.87	4.10060142154183	G0S2
238.7	4.871	49.004311229727	HSD11B1
1.072	0.8491	1.26251324932281	TRAF3IP3
14.14	10.53	1.34283000949668	IRF6
37.19	7.475	4.9752508361204	SLC30A1
18.685	11.16	1.67428315412186	LPGAT1
23.295	18.93	1.23058637083994	ATF3
30.45	4.25	7.16470588235294	PROX1
21.83	16.4	1.33109756097561	KCTD3
61.925	16.52	3.74848668280872	C1orf115
14.47	9.499	1.52331824402569	HLX
15.615	4.451	3.50820040440351	DUSP10
488.4	87.18	5.60220233998623	EPHX1
33.53	19.87	1.68746854554605	GALNT2
1007.5	22.3	45.1793721973094	AGT
1.8765	1.208	1.5533940397351	MAP3K21
12.785	0.9806	13.037935957577	GREM2
104.5	60.03	1.7407962685324	FH
2.8115	1.483	1.89581928523264	OPN3
18.77	12.37	1.51738075990299	TFB2M
64.035	29.59	2.16407570125042	SCCPDH
3.2715	2.494	1.31174819566961	PGBD2
11.02	3.928	2.80549898167006	FAM110C
113.95	36.48	3.12362938596491	ADI1
41.045	3.128	13.1218030690537	COLEC11
191.55	60.8	3.15049342105263	ID2
7.1345	2.079	3.43169793169793	GRHL1
2.707	0.3603	7.51318345822925	VSNL1
2.772	1.403	1.97576621525303	GEN1
289.5	6.065	47.7328936521022	SDC1
3.5565	0.3967	8.96521300731031	GDF7
9.47	6.689	1.41575721333533	SELENOI
118.1	2.238	52.7703306523682	KHK
3.116	1.351	2.30643967431532	CGREF1
2.5635	1.294	1.98106646058733	ABHD1
67.6	15.54	4.35006435006435	SLC5A6
101.9	7.54	13.5145888594164	FNDC4
97.015	0.3124	310.547375160051	GCKR
8.3755	2.4	3.48979166666667	RBKS
3.3135	1.569	2.11185468451243	RMDN2
28.24	9.224	3.06157849089332	GALM
3.47	2.545	1.36345776031434	GEMIN6
27.735	2.84	9.76584507042254	OXER1
168.4	8.169	20.6145183008936	HAAO
3.729	1.94	1.92216494845361	PUS10
9.5345	7.44	1.2815188172043	PEX13
12.395	7.661	1.61793499543141	EHBP1
143.9	73.41	1.96022340280616	UGP2
5.6305	4.164	1.35218539865514	C2orf42
65.945	32.57	2.02471599631563	SPR
15.82	3.278	4.8261134838316	SFXN5
41.335	10.93	3.78179322964318	RTKN
5.9515	3.977	1.49647975861202	MRPL53
3.941	2.922	1.34873374401095	CCDC142
23.315	13.69	1.70306793279766	TTC31
4.705	0.3682	12.778381314503	LBX2
32.275	1.013	31.8608094768016	EVA1A
13.065	9.874	1.32317196678145	MRPL19
1.101	0.5626	1.95698542481337	REG1B
4.4365	2.617	1.69526175009553	REG1A
47.81	30.64	1.56037859007833	RETSAT
21.66	8.328	2.60086455331412	GGCX
79.44	65.31	1.21635277905374	VAMP8
3.9975	2.919	1.36947584789311	GNLY
3.951	0.284	13.9119718309859	PLGLB1
21.49	14.43	1.48925848925849	THNSL2
23.665	9.78	2.41973415132924	FAHD2A
4.643	2.789	1.66475439225529	ADRA2B
3.3865	2.226	1.52133872416891	ZAP70
3.4275	2.285	1.5	LYG1
3.164	1.656	1.91062801932367	IL1R2
1.73	0.5382	3.21441843180974	IL1RL2
4.5065	3.313	1.36024750980984	IL18R1
1.8505	1.076	1.71979553903346	IL18RAP
7.736	3.861	2.003626003626	MFSD9
12.58	3.106	4.05022537025113	SOWAHC
38.605	1.008	38.2986111111111	IL1RN
17.765	6.85	2.59343065693431	PSD4
14.875	11.75	1.26595744680851	INSIG2
5.606	1.715	3.26880466472303	MARCO
131.45	11.25	11.6844444444444	STEAP3
175.45	76.95	2.28005198180637	DBI
47.215	5.999	7.87047841306885	TMEM37
9.015	4.06	2.22044334975369	TMEM177
13.2	7.071	1.86677980483666	EPB41L5
1.3775	0.2712	5.07927728613569	GPR39
22.49	6.637	3.38857917733916	HNMT
22.78	12.12	1.87953795379538	RND3
10.6	6.992	1.51601830663616	NMI
39.56	10.89	3.63269054178145	CD302
6.415	1.489	4.30826057756884	DPP4
45.63	4.396	10.3798908098271	GRB14
13.435	6.717	2.0001488759863	COBLL1
2.0775	0.6161	3.37201752962181	SCN9A
4.0335	3.267	1.2346189164371	RAPGEF4
1.4335	0.302	4.74668874172185	PDE11A
4.926	2.708	1.81905465288035	ZNF385B
1.005	0.3392	2.96285377358491	PPP1R1C
58.72	14.95	3.92775919732442	TFPI
49.235	32.71	1.50519718740446	SLC40A1
22.595	10.38	2.17678227360308	HIBCH
4.101	2.99	1.37157190635451	STAT4
61.895	11.49	5.38685813751088	MYO1B
2.594	2.032	1.27657480314961	NABP1
1.4645	0.2732	5.36054172767204	CCDC150
226.45	117.5	1.92723404255319	HSPD1
221.6	91.11	2.43222478322906	HSPE1
1.4375	1.118	1.28577817531306	SATB2
2.459	1.231	1.99756295694557	FTCDNL1
28.15	14.92	1.88672922252011	MAIP1
251.1	13.42	18.7108792846498	AOX1
34.465	20.09	1.71553011448482	STRADB
4.9615	2.565	1.93430799220273	RAPH1
17	3.625	4.68965517241379	FZD5
100.35	19.97	5.0250375563345	IDH1
17.4	7.402	2.35071602269657	ACADL
347.1	0.8618	402.761661638431	CPS1
229.15	41.05	5.58221680876979	FN1
6.018	1.699	3.54208357857563	MREG
37.475	2.808	13.3457977207977	PECR
164.65	61	2.69918032786885	IGFBP2
1.0695	0.5263	2.0321109633289	CXCR1
73.935	21.33	3.4662447257384	PNKD
332.05	26.69	12.4409891345073	CYP27A1
2.436	1.43	1.7034965034965	SLC23A3
7.604	5.627	1.35134174515728	IRS1
8.4045	0.3498	24.0265866209262	SLC19A3
28.62	10.75	2.66232558139535	PID1
7.167	4.824	1.48569651741294	SP140L
98.13	0.2254	435.359361135759	C2orf72
17.28	0.5817	29.706034038164	NGEF
12.115	9.928	1.22028605962933	MLPH
83.285	7.807	10.6679902651467	RAB17
13.18	4.56	2.89035087719298	SCLY
70.16	12.5	5.6128	BOK
31.265	0.2544	122.897012578616	NEU4
42.845	17.15	2.49825072886297	EDEM1
24.33	19.74	1.23252279635258	CAMK1
49.325	25.99	1.89784532512505	IL17RC
7.133	5.105	1.39725759059745	IRAK2
31.8	1.356	23.4513274336283	SLC6A1
14.705	8.315	1.76849067949489	NUP210
23.39	16.74	1.39725209080048	HACL1
11.79	6.798	1.73433362753751	BTD
13.33	9.425	1.41432360742706	OXSM
24.74	8.508	2.90785143394452	CMTM8
46.95	18.03	2.60399334442596	CMTM6
182.95	41.78	4.37888942077549	ACAA1
32.205	17.93	1.79615170105968	MYD88
9.8005	0.5852	16.7472658920027	XYLB
5.7545	1.906	3.0191500524659	MYRIP
13.83	3.313	4.17446423181407	VIPR1
133.65	100.1	1.33516483516484	HIGD1A
3.5335	0.5681	6.21985565921493	ACKR2
8.3895	5.061	1.65767634854772	TCAIM
27.565	7.579	3.63702335400449	PTH1R
36.82	29.15	1.2631217838765	SCAP
59.07	34.76	1.6993670886076	PLXNB1
70.27	27.74	2.53316510454218	SLC25A20
234.85	140.8	1.66796875	GPX1
34.81	22.44	1.55124777183601	AMT
395.85	8.172	48.4397944199706	MST1
160.7	2.802	57.3518915060671	SLC38A3
2.4515	1.695	1.44631268436578	HYAL3
94.43	11.89	7.94196804037006	HYAL1
17.995	14.35	1.25400696864112	CYB561D2
31.89	21.55	1.47981438515081	CISH
21.225	15.72	1.35019083969466	PARP3
73.74	34.6	2.13121387283237	ABHD14B
125.55	14.3	8.77972027972028	ACY1
2.806	1.431	1.96086652690426	POC1A
80.11	41.44	1.93315637065637	ALAS1
178.65	6.141	29.0913531998046	GLYCTK
662.7	1.101	601.907356948229	ITIH3
1601.5	16.42	97.5334957369062	ITIH4
25.6	3.774	6.78325384207737	CHDH
25.83	4.706	5.48873778155546	IL17RB
21.155	2.983	7.0918538384177	DNASE1L3
18.225	5.246	3.47407548608464	ABHD6
88.945	9.068	9.80866784296427	ACOX2
86.84	40.16	2.16235059760956	SUCLG2
2.3125	1.462	1.58173734610123	CNTN3
83.235	17.73	4.69458544839256	PROS1
22.265	8.725	2.55186246418338	CPOX
15.48	4.386	3.52941176470588	ST3GAL6
20.855	8.583	2.42980309914948	NIT2
32.075	7.2	4.45486111111111	TMEM45A
28.645	20.23	1.41596638655462	NFKBIZ
18.815	14.43	1.3038808038808	ALCAM
3.8825	1.769	2.19474279253816	NECTIN3
6.8075	2.519	2.70246129416435	GRAMD1C
15	4.784	3.13545150501672	PLA1A
186.2	0.5209	357.458245344596	HGD
7.403	1.641	4.51127361365021	CSTA
16.24	9.441	1.72015676305476	PARP9
15.47	11.87	1.30328559393429	DTX3L
1.369	1.018	1.34479371316306	PARP15
13.715	10.48	1.30868320610687	PARP14
31.24	12.52	2.49520766773163	PDIA5
14.65	9.375	1.56266666666667	HACD2
5.829	3.48	1.675	UMPS
3.0445	1.544	1.97182642487047	SLC12A8
85.935	5.402	15.907997038134	ALDH1L1
59.835	25.27	2.36782746339533	KLF15
